Condition,describe,timePerp,w,moral_1,dim_1,color_1,visualDetail_1,sound_1,smell_1,touch_1,taste_1,vivid_1,detail_1,comprehensible_1,complex_1,realistic_1,location_1,setting_1,spatialArrangementOb_1,spatialArrangmentPeo_1,time_1,year_1,season_1,day_1,hour_1,long_1,tone_1,implications_1,implicationsNow_1,felt_1,valenceThen_1,intensityThen_1,valenceNOw_1,intensityNow_1,thoughts_1,reveal_1,before_1,after_1,accuracy_1,oftenThought_1,oftenTALKED_1,age,Gender,Education,language,race,Problems,workerID,attnCheck
noFor,A new friend i met was hanging out with me. He seemed genuine and nice. fter spending most of the day with him I realized my wallet was missing. He helped me search for it but we never found it. After a few days my other friend told me my wallet was being used by that new friend I met. I found out he had stollen it from me. ,16-Mar,No,6,6,7,6,5,2,3,1,5,5,5,3,6,5,5,5,6,5,6,6,5,5,5,2,5,5,6,2,5,2,3,6,3,4,3,6,2,2,26,male,Some College,English,Caucasian/White,,A2O5OJXCUFQ3FV,Yes
noFor,"A friend harmed me emotionally some years ago. He betrayed me by involving himself with a recent ex-girlfriend of mine, and not telling me the truth about it. It destroyed the trust I had in him. I felt hurt and upset for a number of reasons.","August, 2011",No,5,5,6,5,4,1,1,1,5,5,6,4,7,6,7,4,5,4,5,5,2,2,3,1,7,5,6,1,7,2,4,5,3,3,4,6,6,2,33,male,4-year College Degree,English,Caucasian/White,thanks,A320QA9HJFUOZO,Yes
noFor,I was married for ten wonderful years. I had no idea my husband was so sad and depressed. One Monday I cam home from work to find he had killed himself. I have been beyond consoling and cannot forgive him for what he did to our family and me.,13-Sep,No,7,7,1,7,3,3,3,1,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,1,7,7,7,7,7,7,7,2,39,female,4-year College Degree,English,Caucasian/White,,A1XVEKS9O73ERE,Yes
noFor,I had a friend that turned into a drug addict. They became addicted to heroin and booze. They were horrible to me. They hurt me emotionally because they called me names and were mad that I just wanted to help them. Eventually they went to jail. But they threw a knife at me when I tried to confront them about their drug issues. They berated me and made me feel awful. I will never forgive them for trying to hurt me since they don't care and don't want to get help for their issues.,"August, 2013",No,6,6,5,7,7,5,7,1,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,1,7,7,7,7,7,7,7,7,36,female,4-year College Degree,English,Caucasian/White,No.,AJRY9ALX8069Y,Yes
noFor,Someone close to me that I had confided in with a secret betrayed me. I told her about a physical condition that I have that is extremely personal. She thought that she had a friend that she could trust and told them about it. It ended up getting out to several other people in my life that I would have NEVER told about it. I have not forgiven her and I really don't think that I ever will.,12-Aug,No,7,6,5,4,6,1,1,1,7,7,7,1,7,6,6,4,6,7,7,7,7,6,2,1,7,6,7,1,7,1,7,7,6,6,7,7,6,2,58,male,Some College,English,Caucasian/White,all went well,A2M3KQ9CKP7YW,Yes
noFor,"Someone I used to be friends with ended up ruining our relationship. They started using a lot of drugs and became very hostile to me, over some time. We continued to spend time together, a few times, and they said many hurtful things to me. They really seemed to resent me for making different choices than they did. They tried to make amends, to some extent, afterwards, but we did not really resume our relationship after. They had changed too much, and I could not forgive some of the things that they had said.","August, 2013",No,6,4,6,4,5,2,2,2,6,5,6,4,5,5,5,4,5,5,6,4,3,3,3,2,4,3,6,2,5,2,5,5,3,4,4,6,3,2,30,Male,4-year College Degree,English,Caucasian/White,,A149ROBL26JWPJ,Yes
noFor,"When I was around 20 years old, my partner at the time cheated on me. They cheated on me with my very best friend, who I had known since I was a child. The cheating went on for over six months. When I found out, I broke up with my partner and stopped being friends with my best friend. We have not spoken since. ",13-Jan,No,6,6,6,7,5,1,3,1,6,6,6,2,7,6,3,4,4,7,5,7,7,4,3,2,6,3,7,1,7,3,3,6,4,5,7,6,3,3,27,Female,4-year College Degree,English,Caucasian/White,,AXKTYKCT9NGHS,Yes
noFor,"Someone that hurt me that I never forgave was my ex-boyfriend. We were living together at the time we broke up, and going home to my parents was not an option for me. I had nowhere to go. He was the dumpee, and he pulled a knife on me and said maybe if he hurt himself I would care about him again. Despite him making threats about hurting himself, he tried everything he could to get into the bathroom I was locked in, including foolish threats to take the door off the hinges (the hinges were in the bathroom where I was) and trying to get into the bathroom from the window outside.",11-Dec,No,7,7,7,7,7,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,1,7,1,7,1,4,7,7,7,7,7,4,4,31,female,2-year College Degree,English,Caucasian/White,,A3TI6XISG3CKJF,Yes
noFor,I was singled out by my supervisor and put under a microscope at work.  He said untrue things about me. It was his entire goal to get me fired and put me in distress.  He suceeded.,16-Mar,No,7,7,7,7,7,4,1,1,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,1,7,7,7,7,7,1,7,4,65,female,4-year College Degree,English,Caucasian/White,none,A2YTQDLACTLIBA,Yes
noFor,"A former good friend of mine attempted to cheat on her husband with his best friend who she had set me up with. The person she set me up with/the best friend did not accept her advances, but it really hurt me that she was supposed to be a good friend of mine, who then was going to cheat on her husband with his best friend who she had gone to great lengths to set me up with. I felt hurt and realized that she was not a true friend at all. I ended up ending the friendship and realized that I wanted nothing to do with her. I never forgave her and haven't spoken to her since.","January, 2018",No,7,4,6,4,2,1,1,1,4,5,7,7,7,5,5,4,2,3,6,4,4,1,5,4,4,7,7,1,4,1,2,7,6,3,4,7,5,3,36,female,4-year College Degree,English,Caucasian/White,,A2FARB7LA24AU8,Yes
noFor,"I had a friend that I got along with so well. It was rare for me to find another female friend that was funny and smart. But as time went on, things got worse. I didn't realize she had fallen back into a drug habit. I didn't know that she didn't want to hang out at my apartment and kick back. She want;ed a place for she and her friend to smoke heroin. That's the not the part that hurt. I had very little money. I had $25 to my name until I got my disability check. She told me she needed it for gas, and it turned out she needed it for drugs, and I had no food, nothing. The part I'll never forgive? When talking to her about it later, and she never apologized. She just said ""bygones"". No. No it was not.","December, 2015",No,7,7,5,7,3,1,1,1,7,7,7,2,7,7,7,5,7,7,7,7,7,7,3,1,7,5,7,1,7,1,7,7,5,6,7,7,6,2,45,Female,Some College,English,Caucasian/White,,A1LRJ4U04532TM,Yes
noFor,My sister started a very bad rumor about me to try and blame me for her actions when she was caught after having a 4 year affair on her husband with multiple people. It was a stressful time and luckily I had text proof that everything she was saying was not true. She is now divorced and we are still no longer talking and I do not plan on talking to her again. ,14-Sep,No,7,7,5,7,7,7,1,1,7,7,7,3,7,6,7,7,7,7,7,7,7,5,5,1,6,5,7,1,5,7,6,7,6,7,7,1,4,3,33,Female,2-year College Degree,English,Caucasian/White,I enjoyed this task,A1JR35HATOEME9,Yes
noFor,My ex girlfriend handled our breakup very poorly.  She was having a very hard time mentally along a number of measures.   I pleaded with her to get help.  Instead she shut down completely and didn't contribute financially all while giving her well off sister thousands of dollars.   I asked repeatedly to be reimbursed and nothing ever happened.  I remember one discussion in particular on the steps near our apartment and she just was so mean.  ,13-May,No,6,7,7,6,5,1,2,1,6,6,7,3,6,7,7,6,6,6,6,6,6,6,4,1,5,7,6,1,7,2,5,7,3,7,6,6,3,2,43,Male,4-year College Degree,English,"Caucasian/White,Native American/Alaskan",,A2Y5I2HJTRFR8H,Yes
noFor,My friend at the time cheated with my girlfriend at the time. They would hang out behind my back after school when we were supposed to hangout. I only found out because someone else told me about it. I have not forgiven either of them since.,"May, 2013",No,5,5,2,3,2,1,3,1,5,4,5,3,6,6,6,4,5,3,5,6,5,2,3,2,5,3,6,2,5,2,2,5,3,3,3,3,2,2,27,male,4-year College Degree,English,Caucasian/White,,A3V1VK1A3NYN17,Yes
noFor,"Last year in July, my ex wife and myself filed for a simplified dissolution of marriage, aka a divorce. We talked about a joint business account we shared for many years through our relationship because it was still making passive income. We agreed upon splitting it down the middle once each month. For a minimum of 5 years before this point, these payments were always coming to me in my name, account, etc. Well, she went behind my back, changed all the passwords and essentially made sure I wasn't going to get thousands of dollars I worked and invested countless hours into.",19-Aug,No,7,7,7,7,7,1,1,1,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,1,2,7,1,7,7,7,7,7,28,male,High School / GED,English,Caucasian/White,Everything was all good!,A2ZDEERVRN5AMC,Yes
noFor,"I was harmed emotionally and physically when my friend hit me hard in the face when I was over at his house. We were sitting in his bedroom watching television, and he started arguing with me. Out of nowhere, he hit me hard on the side of the face. It caused a bright red mark to appear that didn't go away for a couple of weeks. I was very upset with him and immediately left. I stopped talking to him and have never forgave him.","October, 2018",No,7,7,7,6,5,1,7,1,6,6,6,5,7,7,6,5,6,6,7,7,5,3,3,1,6,7,7,1,7,2,5,6,3,3,5,6,3,2,31,Female,4-year College Degree,English,Caucasian/White,No.,A1BXEU20OCUGVZ,Yes
noFor,"I remember when a guy told me it was good my father was never around because I was a waste of space. We had been fighting over a work issue, and he took it  very deep. He went personal and it took me off guard. I as so hurt by what he was saying and felt it was inappropriate. He later did apologize and said he was heated in that moment. I told him he could still work together but we are not friends and I dont forgive him. ",19-May,No,7,6,3,6,5,3,5,4,6,5,7,5,7,6,6,7,7,7,5,5,6,7,2,1,5,5,5,2,5,1,5,6,5,5,7,7,5,5,34,female,4-year College Degree,english,African American/Black,,AH31QLJ57XC8W,Yes
noFor,"When one of my friends promised to repay a large loan that I gave him.  It was a couple thousand dollars.  He basically ghosted me after that, even though we had been friends for years.  I guess our friendship didn't mean much to him because a couple grand ruined what we had.  I still haven't spoken to them to this day.",16-Feb,No,7,7,1,3,1,1,1,1,7,7,7,1,7,4,7,4,4,7,7,7,7,7,5,1,7,7,7,1,7,1,6,7,4,7,7,7,3,2,38,Male,High School / GED,English,Caucasian/White,,A26NGLGGFTATVN,Yes
noFor,"when my boss abused me for something that wasn't my fault, she made a mistake of not sending a mail to request for a letter of award but he forgot, he called me out in a meeting started abusing me for not sending the mail which he already told me not to worry about that he will send it",19-Oct,No,7,7,7,5,6,6,5,6,6,6,6,6,6,5,7,5,5,5,6,7,6,5,7,6,6,7,7,1,7,2,6,5,5,5,7,6,5,5,32,male,4-year College Degree,English,African American/Black,,AQC8WQHV3U67X,Yes
noFor,"I would never forgive her for treating me that way. It was the final straw of her immaturity and emotional abuse. I couldn't take it anymore and finally cut her off even though we still live together. She had a breakdown, but I never forgave her despite that.",16-Feb,No,5,5,7,5,3,1,2,1,5,3,6,5,6,7,6,3,6,5,3,2,5,3,5,1,7,6,5,1,6,2,3,5,7,5,6,5,6,2,25,Female,4-year College Degree,English,Asian/Asian American,,AWVLT2L5AP873,Yes
noFor,my ex gf when breaking up with me. i never forgave her,15-Jun,No,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,7,6,6,36,m,Some College,english,Caucasian/White,,A18T7E73TNGOKP,Yes
noFor,"Approximately 6 years ago, March of 2014, when I decided to leave my previous job my boss said some pretty awful things. He was upset because I decided to leave and was trying to hurt me emotionally. Even though I knew he was angry I was leaving, which had a lot to do with something he did, it still hurt me then. I never forgave him for the spiteful things he said to me. I started to reach out to him a few months ago after I found out his wife passed away suddenly, but just could not bring myself to do it, I am still so bothered by his words. ","March, 2014",No,6,5,2,6,4,1,2,1,5,5,5,4,5,5,5,4,5,5,5,4,5,3,3,5,3,3,6,1,6,2,4,5,3,4,5,5,3,2,34,female,2-year College Degree,english,Caucasian/White,,A3QRZPJT2CT2IK,Yes
noFor,"A parent that has been emotionally and physically abusive their entire life, that also has a lifelong disease, needed a place to live and their health was starting to slowly get worse.  I let them come live with me since I had an extra room.  I rearranged my life and made a lot of concessions for this person.  After a couple months I came home late one night from work, tired and hungry.  This person was waiting for me and informed me that they were moving out that instant and I should feel lucky that they stuck around to tell me and I didn't come home to an empty house.  They needed to go live their life.  Huh?  On top of that, it was raining and a hurricane was coming and this person walked up and down two flights of stairs to pack their car.  I ate and went to bed after they were done.  I really didn't know what to think or say.  There are more details, but this is long enough already.","September, 2017",No,6,6,6,6,5,5,3,3,6,6,5,6,5,7,7,5,5,6,6,7,4,6,3,1,7,7,7,2,5,2,5,5,5,4,6,1,5,4,49,female,4-year College Degree,english,Caucasian/White,none,A1X1IRFYQZ40LD,Yes
noFor,This person has continuely been unfair and selfish towards me and someone very close to me.  She continues this behavior going as far to belittle my friend when she makes these amazing accomplishments.  Then takes the opprotunity to try to claim her cuesses as her own.  She is awful,16-Jul,No,6,7,2,6,2,1,1,1,7,7,6,3,7,7,6,7,7,7,7,7,7,7,2,1,7,6,7,1,7,7,7,7,3,2,7,1,3,5,35,male,4-year College Degree,english,Caucasian/White,none,A3H0133NSXWYTM,Yes
noFor,"My friend stole my cat. She was doing increasingly terrible things to me before that, but I was trying to be understanding since she was going through a hard time. The cat used to be hers but I had him for an entire year and we agreed he was mine. Then she just took him.",19-Sep,No,7,6,6,5,6,1,2,1,7,6,7,4,7,7,7,6,6,5,7,7,5,5,6,1,7,7,7,1,7,1,6,7,5,3,7,7,7,7,28,female,4-year College Degree,English,Caucasian/White,,A1OBB3PWYWK9KK,Yes
noFor,"Unfortunately, I was harmed emotionally by one of my family members. A few years ago, I caught my brother stealing about 2,000 in cash from a safe that I had hidden in my room. I had forgot to seal the safe shut and while I was out with my friends, my brother took the money. Thankfully, I found the cash in his room, so I was able to take some of it back. However, this was an even I will never forget because this is the day that I lost trust in my brother. This event harmed me for life emotionally.","August , 2017",No,7,7,7,7,7,1,3,1,7,7,7,1,7,7,7,6,7,7,7,7,7,7,5,1,7,6,7,1,7,1,7,6,5,7,7,7,6,6,28,male,High School / GED,English,Caucasian/White,I hope my input helps. Thank you.,A2FOUSWQDYHIE0,Yes
noFor,"i dated a girl for a few years who lied and cheated on me. she also was a sex worker. i worked a lot but did not know. at the time she lived with me and my mother and brother. they intially found out she was a sex worker and i refused to believe it, i even almost hurt my younger brother over it. after a big arugment between him and her and me i got her a apartment. one day i got of work early and came to see her and found her with another guy. i was told before hand by the person who lived next door so i handled it well but i told her it was over and she had until i did not have to pay the rent to find a place",15-Jul,No,7,7,7,7,7,4,2,1,7,7,7,5,7,7,4,6,7,7,7,7,7,5,4,1,4,4,7,1,7,1,2,7,4,4,7,7,5,2,35,male,4-year College Degree,english,African American/Black,none,AZJVAP536DY13,Yes
noFor,Last week my girlfriend hurts me a lot by avoiding me,20-Feb,No,3,7,7,6,6,7,7,7,7,7,6,1,7,7,6,7,7,7,7,7,2,5,7,7,6,7,7,7,7,6,6,7,6,7,7,1,7,6,28,Male,"Professional Degree (JD, MD)",English,Caucasian/White,No,A2D9ZZDR43R34Q,Yes
noFor,"I was once let go from the position I've held for a number of years. What really made it emotionally painful is that the reasoning for this decision was completely untrue and was made up in order not to deal with any consequences. I was emotionally hurt because I left heart and soul on that job, I really liked it and was getting generally positive performance reviews. I never forgave the person behind this decision.","April, 2012",No,7,7,2,5,1,2,1,1,7,7,7,4,7,7,5,5,5,5,4,6,7,6,3,1,7,6,7,1,7,2,6,7,6,7,7,7,6,6,45,male,Masters Degree,English,Caucasian/White,no,A3KIDRWRKC7RI5,Yes
noFor,"Last month, my friend invited some of my other friends to her home for dinner.  I was not invited because I was a vegetarian and my friend didn't know how to prepare food especially for me. I later discovered their gathering in one of my friends' social media account and felt very upset. I felt intensely ignored and excluded by my friend, even though no one said that they did not want me or like me.","February, 2020",No,6,7,5,6,2,5,1,5,7,7,7,2,7,7,3,6,6,6,7,7,7,7,3,2,7,7,7,1,7,1,7,7,7,4,7,6,6,6,52,female,4-year College Degree,Chinese,Asian/Asian American,no,A1198W1SPF1R4,Yes
noFor,"I had a friend that I was very close with. We got into an argument over something and they called me names, one of which was a very personal attack. The attack was based on knowledge that I trusted them with. Given that they used information that I entrusted them with to keep secret and believed that they would not judge me upon, their attack caused me great emotional harm. I felt that I could not longer trust them and therefore never forgave them.","October, 2015",No,7,6,7,5,5,1,4,1,6,6,7,4,7,7,7,5,4,3,4,4,5,5,3,1,6,7,7,1,7,1,6,7,5,7,5,7,4,2,35,Male,2-year College Degree,English,"Caucasian/White,Asian/Asian American",,A1BWS5AD2T4NIR,Yes
noFor,"One time in high school I had a friend who was with another group and they told him to dump dirt on me. He listened and did it despite my protesting. He never apologized, and I never forgave him. We stopped talking after that and he was dead to me. ",14-Mar,No,4,5,5,5,5,5,5,5,5,6,6,3,5,6,5,5,5,5,3,5,5,3,2,1,3,5,6,2,5,2,5,5,3,3,3,6,2,2,28,male,4-year College Degree,english,Caucasian/White,,A1JQ4KBFW7U3N1,Yes
noFor,My sister-in-law harmed me emotionally. Actually it was both my sister-in-laws. We went on a family trip to NC and they talked behind my back to other family members. Thankfully the other family members told me about this and disagreed with the whole situation. They caused harm to me about my parenting style and overall being. It was the worst vacation I ever had and to this day I avoid the sister-in-laws at all costs. This situation was not good for my own children to see and caused a lot of emotional stress for all of us. ,14-Aug,No,7,7,7,7,7,2,5,2,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,1,7,7,7,7,7,7,7,6,58,female,Masters Degree,English,Caucasian/White,,A3UD7T1L80TCR3,Yes
noFor,I have this ex girlfriend who harmed me emotionally pretty bad. She turned into a brutal alcoholic. Drink wine when she first woke up. So one day I called her out on it. She was arguing with me and I told her I couldn't deal with her if she wasn't sober. She decided to break some glasses and completely freak out yelling at me. I really cared for this person but I could not take that anymore. I was being abused and felt it was only going to get worse. I got my things and left. I have not forgiven her for the way she treated me. ,15-May,No,5,6,7,6,5,2,4,3,6,6,6,3,7,7,5,6,5,6,3,2,5,6,3,1,7,7,5,1,6,2,6,5,4,3,6,6,5,4,39,Male,High School / GED,English,Caucasian/White,,ANUT13S1G9RWU,Yes
noFor,"One of my friends who I had known for several years stole my phone and sold it for cash. I was surprised, sad, and angry when I found about this and confronted him. He did not show any remorse and told me to go away. I was deeply hurt emotional by his actions, and had a difficult time trusting other people afterwards. I do not talk to him at all anymore, but I still hate him for what he did.","September, 2011",No,6,5,3,4,2,2,2,1,5,4,6,5,5,5,5,5,4,5,5,5,5,4,5,2,5,6,6,2,5,2,5,5,3,5,5,4,2,2,23,Male,4-year College Degree,English,Asian/Asian American,,A1UZXOMO6BS6I2,Yes
noFor,"I was roommates with one of my closest friends several years ago and we initially got along very well, but then we moved into a more expensive apartment with the promise that his partner was going to move in with us. I made it very clear I could not afford to split this apartment evenly without his boyfriend there with us too, and he agreed and said he would not make me pay more than that share even if his boyfriend bailed on his, which he did. In the following year, I was made to feel like he was my landlord and I 'owed' him, since I was living there for less than he was even though this was agreed upon beforehand and it was his own boyfriend that essentially ruined our plans. It culminated with a large dispute over money, where he said many hurtful things to me and made me feel awful and like I had been a burden.","October, 2016",No,5,6,7,3,5,3,1,1,7,7,6,5,7,7,7,3,3,6,7,7,3,6,5,2,6,6,7,1,7,1,6,7,3,2,3,3,7,7,26,man,Some College,English,Caucasian/White,,A74PT3GRDMEZ,Yes
